,State,Percent_lost2,Pestticides
0,AL,8,0
1,AZ,31,4
2,AR,9,8
3,CA,12,12
4,CO,10,20
5,CT,7,1
6,FL,14,7
7,GA,15,5
8,HI,5,0
9,ID,15,4
10,IL,5,1
11,IN,10,0
12,IA,12,6
13,KS,40,25
14,KY,13,10
15,LA,7,1
16,ME,1,0
17,MD,8,0
18,MA,6,2
19,MI,12,4
20,MN,10,25
21,MS,4,0
22,MO,5,0
23,MT,8,11
24,NE,10,0
25,NJ,3,0
26,NM,5,8
27,NY,9,1
28,NC,10,0
29,ND,13,2
30,OH,13,7
31,OK,7,0
32,OR,8,2
33,PA,11,0
34,SC,13,2
35,SD,4,7
36,TN,11,5
37,TX,10,5
38,UT,7,0
39,VT,15,1
40,VA,10,0
41,WA,7,0
42,WV,9,3
43,WI,14,22
44,WY,5,11
45,AL,9,2
46,AZ,21,7
47,AR,9,1
48,CA,15,9
49,CO,15,3
50,CT,8,1
51,FL,14,17
52,GA,10,8
53,HI,7,0
54,ID,11,0
55,IL,8,6
56,IN,16,1
57,IA,9,9
58,KS,26,3
59,KY,13,3
60,LA,4,0
61,ME,8,0
62,MD,5,5
63,MA,9,0
64,MI,12,3
65,MN,12,18
66,MS,8,0
67,MO,7,0
68,MT,13,14
69,NE,12,1
70,NJ,3,2
71,NM,23,0
72,NY,18,13
73,NC,22,0
74,ND,11,0
75,OH,11,4
76,OK,6,0
77,OR,8,3
78,PA,15,3
79,SC,8,25
80,SD,8,6
81,TN,9,1
82,TX,13,4
83,UT,5,1
84,VT,4,41
85,VA,10,0
86,WA,9,9
87,WV,13,1
88,WI,13,11
89,WY,8,5
90,AL,13,10
91,AZ,22,2
92,AR,30,31
93,CA,13,17
94,CO,21,20
95,CT,8,1
96,FL,21,10
97,GA,14,15
98,HI,1,0
99,ID,5,15
100,IL,13,8
101,IN,15,1
102,IA,14,33
103,KS,13,9
104,KY,12,7
105,LA,5,1
106,ME,1,0
107,MD,12,1
108,MA,18,3
109,MI,13,24
110,MN,7,40
111,MS,15,2
112,MO,9,0
113,MT,11,6
114,NE,18,2
115,NJ,8,4
116,NM,24,10
117,NY,8,5
118,NC,22,2
119,ND,6,1
120,OH,15,6
121,OK,0,0
122,OR,11,14
123,PA,23,7
124,SC,13,0
125,SD,6,4
126,TN,12,2
127,TX,7,3
128,UT,7,9
129,VT,7,55
130,VA,12,8
131,WA,6,0
132,WV,14,0
133,WI,15,23
134,WY,12,6
135,AL,13,2
136,AZ,19,0
137,AR,19,74
138,CA,14,12
139,CO,12,0
140,CT,6,1
141,FL,15,14
142,GA,12,7
143,HI,6,0
144,ID,9,16
145,IL,12,3
146,IN,37,65
147,IA,20,32
148,KS,18,44
149,KY,29,7
150,LA,5,6
151,ME,12,0
152,MD,8,1
153,MA,13,9
154,MI,8,15
155,MN,13,8
156,MS,8,1
157,MO,9,2
158,MT,5,18
159,NE,11,0
160,NJ,8,0
161,NM,38,0
162,NY,8,2
163,NC,17,2
164,ND,7,11
165,OH,14,8
166,OK,4,0
167,OR,13,15
168,PA,19,13
169,SC,12,1
170,SD,15,2
171,TN,22,11
172,TX,7,3
173,UT,13,8
174,VT,3,0
175,VA,16,13
176,WA,14,5
177,WV,17,7
178,WI,18,25
179,WY,8,7
180,AL,11,5
181,AZ,19,23
182,AR,8,8
183,CA,10,11
184,CO,30,15
185,CT,8,0
186,FL,10,12
187,GA,15,9
188,HI,8,1
189,ID,8,11
190,IL,13,3
191,IN,7,7
192,IA,23,25
193,KS,13,43
194,KY,5,5
195,LA,5,1
196,ME,7,3
197,MD,14,0
198,MA,24,0
199,MI,8,8
200,MN,16,6
201,MS,12,14
202,MO,15,0
203,MT,9,1
204,NE,7,4
205,NJ,1,0
206,NM,1,0
207,NY,15,9
208,NC,18,2
209,ND,6,4
210,OH,14,1
211,OK,7,0
212,OR,12,2
213,PA,18,3
214,SC,14,4
215,SD,4,6
216,TN,12,34
217,TX,7,5
218,UT,14,10
219,VT,3,1
220,VA,15,0
221,WA,13,20
222,WV,19,0
223,WI,18,14
224,WY,12,0
